title,vote_count,vote_average,year,genres,id
Toy Story,5415.0,7.7,1995,"['Animation', 'Comedy', 'Family']",862
Jumanji,2413.0,6.9,1995,"['Adventure', 'Fantasy', 'Family']",8844
Grumpier Old Men,92.0,6.5,1995,"['Romance', 'Comedy']",15602
Waiting to Exhale,34.0,6.1,1995,"['Comedy', 'Drama', 'Romance']",31357
Father of the Bride Part II,173.0,5.7,1995,['Comedy'],11862
Heat,1886.0,7.7,1995,"['Action', 'Crime', 'Drama', 'Thriller']",949
Sabrina,141.0,6.2,1995,"['Comedy', 'Romance']",11860
Tom and Huck,45.0,5.4,1995,"['Action', 'Adventure', 'Drama', 'Family']",45325
Sudden Death,174.0,5.5,1995,"['Action', 'Adventure', 'Thriller']",9091
GoldenEye,1194.0,6.6,1995,"['Adventure', 'Action', 'Thriller']",710
The American President,199.0,6.5,1995,"['Comedy', 'Drama', 'Romance']",9087
Dracula: Dead and Loving It,210.0,5.7,1995,"['Comedy', 'Horror']",12110
Balto,423.0,7.1,1995,"['Family', 'Animation', 'Adventure']",21032
Nixon,72.0,7.1,1995,"['History', 'Drama']",10858
Cutthroat Island,137.0,5.7,1995,"['Action', 'Adventure']",1408
Casino,1343.0,7.8,1995,"['Drama', 'Crime']",524
Sense and Sensibility,364.0,7.2,1995,"['Drama', 'Romance']",4584
Four Rooms,539.0,6.5,1995,"['Crime', 'Comedy']",5
Ace Ventura: When Nature Calls,1128.0,6.1,1995,"['Crime', 'Comedy', 'Adventure']",9273
Money Train,224.0,5.4,1995,"['Action', 'Comedy', 'Crime']",11517
Get Shorty,305.0,6.4,1995,"['Comedy', 'Thriller', 'Crime']",8012
Copycat,199.0,6.5,1995,"['Drama', 'Thriller']",1710
Assassins,394.0,6.0,1995,"['Action', 'Adventure', 'Crime', 'Thriller']",9691
Powder,143.0,6.3,1995,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",12665
Leaving Las Vegas,365.0,7.1,1995,"['Drama', 'Romance']",451
Othello,33.0,7.0,1995,['Drama'],16420
Now and Then,91.0,6.6,1995,"['Comedy', 'Drama', 'Family']",9263
Persuasion,36.0,7.4,1995,"['Drama', 'Romance']",17015
The City of Lost Children,308.0,7.6,1995,"['Fantasy', 'Science Fiction', 'Adventure']",902
Shanghai Triad,17.0,6.5,1995,"['Drama', 'Crime']",37557
Dangerous Minds,249.0,6.4,1995,"['Drama', 'Crime']",9909
Twelve Monkeys,2470.0,7.4,1995,"['Science Fiction', 'Thriller', 'Mystery']",63
Babe,756.0,6.0,1995,"['Fantasy', 'Drama', 'Comedy', 'Family']",9598
Carrington,16.0,6.4,1995,"['History', 'Drama', 'Romance']",47018
Dead Man Walking,350.0,7.3,1995,['Drama'],687
It Takes Two,149.0,6.1,1995,"['Comedy', 'Family', 'Romance']",33689
Clueless,828.0,6.9,1995,"['Comedy', 'Drama', 'Romance']",9603
"Cry, the Beloved Country",13.0,6.7,1995,['Drama'],34615
Richard III,50.0,6.9,1995,"['Drama', 'War']",31174
Dead Presidents,80.0,6.6,1995,"['Action', 'Crime', 'Drama', 'History']",11443
Restoration,30.0,6.3,1995,"['Drama', 'Romance']",35196
Mortal Kombat,452.0,5.4,1995,"['Action', 'Fantasy']",9312
To Die For,177.0,6.7,1995,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",577
How To Make An American Quilt,38.0,6.5,1995,"['Drama', 'Romance']",11861
Se7en,5915.0,8.1,1995,"['Crime', 'Mystery', 'Thriller']",807
Pocahontas,1509.0,6.7,1995,"['Adventure', 'Animation', 'Drama', 'Family']",10530
When Night Is Falling,10.0,5.9,1995,"['Drama', 'Romance']",8391
The Usual Suspects,3334.0,8.1,1995,"['Drama', 'Crime', 'Thriller']",629
Mighty Aphrodite,145.0,6.7,1995,"['Comedy', 'Romance']",11448
Lamerica,11.0,7.7,1994,"['Drama', 'Foreign']",49133
The Big Green,41.0,5.2,1995,"['Action', 'Adventure', 'Comedy', 'Family']",26441
Georgia,15.0,6.1,1995,['Drama'],97406
Home for the Holidays,39.0,6.3,1995,"['Comedy', 'Drama', 'Romance']",9089
The Postman,181.0,7.6,1994,"['Comedy', 'Drama', 'Romance']",11010
The Indian in the Cupboard,136.0,5.9,1995,"['Adventure', 'Family', 'Fantasy']",11359
Eye for an Eye,65.0,5.8,1996,"['Drama', 'Thriller']",17182
Mr. Holland's Opus,115.0,6.9,1995,"['Music', 'Drama', 'Family']",2054
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,192.0,6.2,1996,['Comedy'],10607
Two If by Sea,14.0,4.5,1996,"['Comedy', 'Romance']",19760
Bio-Dome,110.0,4.4,1996,['Comedy'],9536
Lawnmower Man 2: Beyond Cyberspace,32.0,2.8,1996,"['Action', 'Science Fiction']",11525
Two Bits,11.0,5.4,1995,"['Drama', 'Family']",40628
French Twist,43.0,6.0,1995,"['Comedy', 'Romance']",4482
Friday,513.0,7.0,1995,['Comedy'],10634
From Dusk Till Dawn,1644.0,6.9,1996,"['Horror', 'Action', 'Thriller', 'Crime']",755
Fair Game,54.0,4.1,1995,"['Action', 'Thriller', 'Romance']",11859
Kicking and Screaming,36.0,7.0,1995,"['Comedy', 'Drama', 'Romance']",28387
Bed of Roses,27.0,5.1,1996,"['Drama', 'Romance']",20927
Big Bully,16.0,3.9,1996,"['Comedy', 'Family']",36929
Screamers,154.0,6.1,1995,"['Horror', 'Science Fiction']",9102
The Crossing Guard,74.0,6.1,1995,"['Drama', 'Thriller']",27526
The Juror,91.0,5.5,1996,"['Drama', 'Thriller']",9623
The White Balloon,20.0,7.5,1995,"['Family', 'Drama']",46785
Things to Do in Denver When You're Dead,87.0,6.7,1995,"['Drama', 'Crime']",400
Antonia's Line,26.0,7.2,1995,"['Drama', 'Comedy']",880
Angels and Insects,17.0,6.3,1995,"['Drama', 'Romance']",8447
White Squall,86.0,6.3,1996,"['Action', 'Drama']",10534
Dunston Checks In,59.0,5.1,1996,"['Adventure', 'Comedy', 'Family']",17414
Black Sheep,124.0,6.0,1996,['Comedy'],13997
Nick of Time,190.0,6.1,1995,"['Crime', 'Drama', 'Thriller']",2086
Mary Reilly,77.0,5.7,1996,"['Drama', 'Horror', 'Thriller', 'Romance']",9095
Vampire in Brooklyn,113.0,4.5,1995,"['Comedy', 'Horror', 'Romance']",12158
Beautiful Girls,103.0,6.6,1996,"['Comedy', 'Drama', 'Romance']",9283
Broken Arrow,459.0,5.7,1996,"['Action', 'Adventure', 'Drama', 'Thriller']",9208
La Haine,695.0,7.9,1995,['Drama'],406
Shopping,13.0,5.6,1994,"['Action', 'Adventure', 'Drama', 'Science Fiction', 'Thriller']",45549
City Hall,67.0,6.0,1996,"['Drama', 'Thriller']",11062
Bottle Rocket,285.0,6.8,1996,"['Comedy', 'Crime', 'Drama']",13685
Mr. Wrong,16.0,3.3,1996,"['Comedy', 'Romance']",47475
Unforgettable,22.0,5.3,1996,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",2045
Happy Gilmore,767.0,6.5,1996,['Comedy'],9614
The Bridges of Madison County,397.0,7.3,1995,"['Drama', 'Romance']",688
